id~nachname~vorname~geboren~gestorben~pnd~wikipedia~gagliardi~dekanat~rektor~id_fakultaet
abeljanz_h~Abeljanz~Haruthiun~1849~1921~116239697~https://de.wikipedia.org/wiki/Haruthiun_Abeljanz~UZV: 992, Nr. 21~Dekan: 1892-1894~~2
amsler-laffon_j~Amsler-Laffon~Jakob~1823~1912~119159341~https://de.wikipedia.org/wiki/Jakob_Amsler-Laffon~UZV: 996, Nr. 81~~~2
annaheim_j~Annaheim~Joseph~1843~1912~116312122~~UZV: 997, Nr. 99~~~2
arnold_f~Arnold~Friedrich~1803~1890~100417159~https://de.wikipedia.org/wiki/Friedrich_Arnold_(Anatom)~UZV: 966, Nr. 3~Dekan: 1837/38-1838~Rektor: 1838-1838/39~1
arnold_jw~Arnold~Johann Wilhelm~1801~1873~100990932~~UZV: 970, Nr. 72~~~1
asper_g~Asper~Gottlieb~1854~1889~102001588~~UZV: 995, Nr. 59~~~2
avenarius_r~Avenarius~Richard~1843~1896~116389311~https://de.wikipedia.org/wiki/Richard_Avenarius~UZV: 981, Nr. 23~Dekan: 1882-1883/84~~2
bachmann_a~Bachmann~Albert~1863~1934~116026960~https://de.wikipedia.org/wiki/Albert_Bachmann_(Philologe)~UZV: 982, Nr. 33~~~2
baechtold_j~Bächtold~Jakob~1848~1897~118651706~https://de.wikipedia.org/wiki/Jakob_Baechtold~UZV: 981, Nr. 27~Dekan: 1892-1893/94~~2
baiter_jg~Baiter~Johann Georg~1801~1877~11604117X~https://de.wikipedia.org/wiki/Johann_Georg_Baiter~UZV: 983, Nr. 62~Dekan: 1835-1836/37~~2
baltzer_a~Baltzer~Armin~1842~1913~117561940~https://de.wikipedia.org/wiki/Armin_Baltzer~UZV: 997, Nr. 97~~~2
baumgartner_w~Baumgartner~Wilhelm~1820~1867~131910337~https://de.wikipedia.org/wiki/Wilhelm_Baumgartner~~~~2
behn-eschenburg_h~Behn-Eschenburg~Hermann~1814~1873~116109912~~UZV: 983, Nr. 65~Dekan: 1870-1871/72~~2
benndorf_o~Benndorf~Otto~1838~1907~116121157~https://de.wikipedia.org/wiki/Otto_Benndorf~UZV: 980, Nr. 13~~~2
bergen_j~Bergen~Jakob~1842~1904~~~UZV: 959, Nr. 50~~~4
bernheim_j~Bernheim~Jakob~1868~1958~~~UZV: 973, Nr. 132~~~1
betz_l~Betz~Louis~1861~1904~118182854~https://de.wikipedia.org/wiki/Louis-Paul_Betz~UZV: 984, Nr. 82~~~2
biedermann_ae~Biedermann~Alois Emanuel~1819~1885~118510681~https://de.wikipedia.org/wiki/Alois_Emanuel_Biedermann~UZV: 957, Nr. 9~Dekan: 1857-1858/59; 1868-1869/70; 1880-1881/82~Rektor: 1874-1875/76~4
biermer_a~Biermer~Anton~1827~1892~119060280~https://de.wikipedia.org/wiki/Anton_Biermer~UZV: 967, Nr. 19~Dekan: 1868-1869/70~~1
billeter_g~Billeter~Gustav~1873~1929~116181060~https://de.wikipedia.org/wiki/Gustav_Billeter~UZV: 988, Nr. 157~~~2
billeter_j~Billeter~Jakob~1834~1912~~~UZV: 977, Nr. 1~~~1
billroth_t~Billroth~Theodor~1829~1894~118510916~https://de.wikipedia.org/wiki/Theodor_Billroth~UZV: 967, Nr. 15~Dekan: 1864-1865/66~~1
bischler_a~Bischler~August~1865~1957~116193050~https://de.wikipedia.org/wiki/August_Bischler~UZV: 998, Nr. 124~~~2
bleuler_e~Bleuler~Eugen~1857~1939~121096416~https://de.wikipedia.org/wiki/Eugen_Bleuler~UZV: 969, Nr. 43~~~1
bloch_l~Bloch~Leo~1864~1920~116202459~https://de.wikipedia.org/wiki/Leo_Bloch~UZV: 988, Nr. 149~~~2
bluemner_h~Blümner~Hugo~1844~1919~116205849~https://de.wikipedia.org/wiki/Hugo_Blümner~UZV: 981, Nr. 25~Dekan: 1880-1881/82~Rektor: 1888-1889/90~2
bluntschli_jc~Bluntschli~Johann Caspar~1808~1881~118512129~https://de.wikipedia.org/wiki/Johann_Caspar_Bluntschli~UZV: 960, Nr. 5~Dekan: 1838-1840; 1846-1847/48~Rektor: 1844-1845/46~3
bobrik_e~Bobrik~Eduard~1802~1870~116211822~https://de.wikipedia.org/wiki/Eduard_Bobrik~UZV: 980, Nr. 1~Dekan: 1837-1838/39~Rektor: 1840/41-1841/42~2
boehmert_cv~Böhmert~Carl Victor~1829~1918~104080485~https://de.wikipedia.org/wiki/Viktor_Böhmert~UZV: 961, Nr. 19~Dekan: 1874-1874/75~~3
boehringer_p~Böhringer~Paul~1852~1929~116221852~https://de.wikipedia.org/wiki/Paul_Böhringer~UZV: 959, Nr. 51~~~4
boesch_m~Bösch~Melchior~1852~1910~~~UZV: 988, Nr. 144~~~2
