id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1833s~1833s.xml~Zürich~Sommer~1833~1833~Verzeichniss der Vorlesungen an der Zürcherischen Hochschule von Ostern bis Michaelis 1833.~ja~Sommersemester 1833
1833w~1833w.xml~Zürich~Winter~1833~1834~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1833 und 1834. Anfang am 28. October, Schluss am 20. März, Zürich: Gessner, 1833.~ja~Wintersemester 1833/34
1834s~1834s.xml~Zürich~Sommer~1834~1834~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1834. Anfang am 21. April, Schluss am 25. Sept., Sommerferien vom 21. Juli bis 3. August, Zürich: Gessner, 1834.~ja~Sommersemester 1834
1834w~1834w.xml~Zürich~Winter~1834~1835~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1834-1835. Anfang am 27. October, Schluss am 20. März, Zürich: Gessner, 1834.~ja~Wintersemester 1834/35
1835s~1835s.xml~Zürich~Sommer~1835~1835~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1835. Anfang am 27. April, Schluss am 25. Oktober, Sommerferien vom 20. Julius bis 2. August, Zürich: J. J. Ulrich, 1835.~ja~Sommersemester 1835
1835w~1835w.xml~Zürich~Winter~1835~1836~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1835-1836. Anfang am 26ten October, Schluss am 20ten März, Zürich: J. J. Ulrich, 1835.~ja~Wintersemester 1835/36
1836s~1836s.xml~Zürich~Sommer~1836~1836~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1836. Anfang am 27. April, Schluss am 25. September, Sommerferien vom 20. Julius bis 2. August, Zürich: J. J. Ulrich, 1836.~ja~Sommersemester 1836
1836w~1836w.xml~Zürich~Winter~1836~1837~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1836-1837. Anfang am 26. October, Schluss am 20. März, Zürich: J. J. Ulrich, 1836.~ja~Wintersemester 1836/37
1837s~1837s.xml~Zürich~Sommer~1837~1837~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1837. Anfang am 24. April, Schluss am 23. September, Sommerferien 23. Juli bis 5. August, Zürich: J. J. Ulrich, 1837.~ja~Sommersemester 1837
1837w~1837w.xml~Zürich~Winter~1837~1838~Verzeichniss der Vorlesungen an der Universität Zürich im Wintersemester 1837-1838. Anfang am 30. October, Schluss am 20. März, Zürich: J. J. Ulrich, 1837.~ja~Wintersemester 1837/38
1838s~1838s.xml~Zürich~Sommer~1838~1838~Verzeichniss der Vorlesungen an der Universität Zürich im Sommersemester 1838. Anfang am 23. April, Schluss am 25. September, Sommerferien vom 16. bis 28. Juli, Zürich: J. J. Ulrich, 1838.~ja~Sommersemester 1838
